id;job;marital;education
2178;technician;married;professional.course
861;blue-collar;single;professional.course
3020;technician;married;professional.course
2129;self-employed;married;basic.9y
3201;blue-collar;married;basic.9y
3660;blue-collar;single;basic.6y
2538;services;married;high.school
1850;blue-collar;married;basic.9y
1606;entrepreneur;single;basic.6y
2812;admin.;single;high.school
3835;admin.;married;university.degree
782;technician;single;professional.course
1054;blue-collar;single;basic.9y
1069;admin.;married;high.school
156;blue-collar;married;basic.4y
2461;technician;divorced;high.school
1703;blue-collar;married;basic.6y
1817;services;married;high.school
1780;management;married;unknown
405;technician;married;professional.course
791;admin.;single;university.degree
1071;unemployed;single;university.degree
1290;retired;unknown;university.degree
1370;technician;married;professional.course
847;admin.;married;university.degree
1463;technician;divorced;unknown
3923;services;single;university.degree
1507;technician;married;university.degree
3542;services;married;professional.course
4100;admin.;divorced;high.school
3866;admin.;married;university.degree
2432;admin.;single;university.degree
3797;admin.;married;university.degree
3117;blue-collar;married;basic.9y
26;technician;married;professional.course
3931;entrepreneur;married;high.school
173;services;married;professional.course
3212;blue-collar;married;basic.4y
2795;services;married;basic.9y
1829;blue-collar;married;basic.9y
2069;blue-collar;married;basic.6y
1006;management;married;basic.9y
3538;retired;married;basic.4y
2464;blue-collar;married;unknown
1017;blue-collar;married;basic.4y
3287;blue-collar;married;basic.6y
1908;management;married;university.degree
1465;unknown;married;professional.course
1416;blue-collar;single;basic.6y
2099;technician;married;basic.6y
1617;blue-collar;single;basic.9y
552;student;single;high.school
4116;admin.;married;high.school
4101;admin.;divorced;high.school
3401;unemployed;married;university.degree
3726;housemaid;married;basic.6y
3592;management;single;university.degree
3856;technician;married;professional.course
773;blue-collar;married;basic.9y
2508;blue-collar;married;basic.4y
3209;admin.;single;professional.course
2195;student;single;professional.course
3894;admin.;single;high.school
2801;management;married;university.degree
1895;management;married;professional.course
3949;blue-collar;married;basic.6y
3839;technician;married;university.degree
1166;blue-collar;married;basic.6y
2407;technician;single;university.degree
365;technician;married;professional.course
2558;blue-collar;single;professional.course
137;admin.;married;university.degree
2250;housemaid;married;university.degree
2754;technician;single;professional.course
1285;self-employed;married;high.school
3056;admin.;married;high.school
3135;blue-collar;married;basic.6y
2164;student;single;university.degree
2915;admin.;divorced;university.degree
1774;blue-collar;single;basic.4y
4002;technician;single;high.school
132;management;married;university.degree
2544;unknown;married;professional.course
533;unemployed;divorced;basic.9y
1047;admin.;married;university.degree
1132;management;single;university.degree
1866;blue-collar;married;basic.6y
1620;blue-collar;married;basic.4y
875;admin.;married;high.school
3466;services;married;high.school
1648;blue-collar;married;basic.4y
3964;blue-collar;married;unknown
1459;management;married;university.degree
2397;admin.;married;basic.9y
219;blue-collar;married;basic.9y
364;services;single;basic.4y
519;self-employed;married;university.degree
583;technician;single;professional.course
2092;management;married;university.degree
745;management;divorced;basic.9y
1049;services;single;basic.9y
3717;services;married;basic.9y
2025;management;single;university.degree
1034;management;married;high.school
9;services;divorced;professional.course
2460;unemployed;married;university.degree
21;services;married;basic.6y
1144;admin.;single;high.school
674;admin.;single;university.degree
2029;blue-collar;married;basic.9y
1960;management;married;university.degree
2154;technician;married;professional.course
309;blue-collar;married;basic.9y
2681;blue-collar;married;basic.9y
2627;technician;married;basic.6y
1744;blue-collar;single;basic.9y
1536;admin.;married;high.school
29;admin.;single;unknown
578;admin.;married;university.degree
3299;blue-collar;married;basic.4y
1583;services;married;unknown
471;services;married;high.school
1730;blue-collar;married;basic.9y
1462;blue-collar;divorced;high.school
3830;housemaid;married;basic.4y
3366;management;married;university.degree
3522;technician;married;professional.course
1874;unemployed;single;basic.4y
366;blue-collar;married;basic.4y
1362;admin.;single;high.school
3009;admin.;married;high.school
3722;management;married;university.degree
1917;management;divorced;university.degree
2519;housemaid;married;professional.course
3017;management;married;university.degree
1360;blue-collar;married;basic.4y
3903;blue-collar;married;basic.9y
918;blue-collar;single;basic.6y
2125;self-employed;single;basic.4y
254;management;married;unknown
4054;technician;married;professional.course
3100;technician;married;professional.course
3553;technician;married;basic.9y
893;blue-collar;married;basic.9y
2832;blue-collar;married;basic.9y
2089;admin.;single;basic.6y
556;technician;single;university.degree
1405;admin.;married;university.degree
3714;retired;divorced;university.degree
1162;services;married;basic.6y
3326;technician;single;basic.9y
1420;services;married;basic.9y
3248;technician;single;high.school
1043;management;married;basic.6y
2353;blue-collar;married;basic.4y
1735;blue-collar;married;basic.6y
207;management;married;basic.4y
2675;technician;married;university.degree
259;admin.;single;high.school
94;self-employed;married;university.degree
2106;technician;married;high.school
3899;management;single;basic.4y
935;blue-collar;single;basic.9y
4045;blue-collar;married;basic.9y
2635;admin.;married;university.degree
260;self-employed;married;university.degree
2704;admin.;divorced;basic.9y
744;technician;married;high.school
1913;admin.;single;university.degree
44;entrepreneur;divorced;professional.course
4042;blue-collar;married;basic.9y
4117;student;single;high.school
1543;technician;married;university.degree
3571;services;married;high.school
1271;admin.;divorced;university.degree
2131;admin.;single;university.degree
1741;technician;single;university.degree
24;management;married;high.school
694;technician;single;university.degree
821;services;married;high.school
3559;admin.;married;university.degree
2372;unemployed;married;university.degree
3094;blue-collar;divorced;basic.6y
1624;blue-collar;single;basic.4y
1314;blue-collar;married;high.school
1577;technician;single;professional.course
1783;admin.;married;university.degree
498;admin.;single;university.degree
114;management;married;university.degree
494;blue-collar;married;high.school
3334;self-employed;single;university.degree
3114;admin.;married;high.school
473;admin.;married;university.degree
3167;services;married;high.school
103;services;married;high.school
869;admin.;married;basic.9y
3480;admin.;married;university.degree
1473;services;single;high.school
1092;blue-collar;married;basic.6y
2817;blue-collar;married;basic.9y
2872;admin.;single;high.school
2875;unemployed;married;high.school
752;management;married;university.degree
2325;housemaid;married;university.degree
116;entrepreneur;married;university.degree
3758;admin.;married;high.school
1451;blue-collar;married;basic.9y
2377;admin.;single;university.degree
3403;student;single;unknown
2926;blue-collar;married;basic.6y
2175;blue-collar;married;basic.9y
2724;services;divorced;basic.4y
595;self-employed;married;university.degree
16;services;single;university.degree
3668;admin.;married;high.school
277;blue-collar;married;basic.4y
1018;blue-collar;married;basic.6y
3550;housemaid;divorced;basic.4y
2580;admin.;married;university.degree
1470;admin.;single;university.degree
3961;admin.;single;high.school
261;technician;married;basic.9y
105;services;single;basic.9y
209;services;married;professional.course
1454;admin.;married;basic.9y
412;blue-collar;married;unknown
2677;services;married;high.school
3378;blue-collar;married;unknown
603;technician;married;university.degree
3376;technician;single;university.degree
2288;unknown;married;basic.4y
864;services;divorced;basic.9y
3484;admin.;married;high.school
410;entrepreneur;married;basic.4y
789;management;married;high.school
1545;technician;married;professional.course
2222;blue-collar;married;basic.4y
417;blue-collar;married;basic.4y
239;services;married;high.school
3452;technician;single;university.degree
3792;blue-collar;married;basic.9y
2097;technician;married;high.school
1981;self-employed;married;university.degree
1278;student;single;professional.course
2369;blue-collar;single;basic.9y
3465;blue-collar;married;basic.4y
953;blue-collar;divorced;basic.9y
3477;blue-collar;married;basic.4y
3529;blue-collar;divorced;basic.9y
2594;services;single;university.degree
3828;admin.;divorced;high.school
802;admin.;married;university.degree
3891;blue-collar;married;basic.6y
3394;technician;single;university.degree
1883;blue-collar;married;basic.9y
1436;services;married;high.school
1192;entrepreneur;married;basic.9y
1087;admin.;single;university.degree
1977;admin.;single;high.school
3211;retired;married;basic.4y
2625;technician;married;high.school
747;blue-collar;single;high.school
79;unemployed;married;basic.9y
2736;management;married;unknown
949;admin.;married;professional.course
2815;services;single;professional.course
3626;housemaid;married;professional.course
3286;student;single;high.school
3654;admin.;married;university.degree
1231;admin.;divorced;high.school
721;admin.;single;high.school
944;management;married;basic.9y
3297;technician;single;professional.course
441;management;married;university.degree
1514;unemployed;married;basic.9y
1512;unemployed;married;high.school
1899;technician;married;professional.course
2414;management;married;university.degree
3141;student;single;high.school
706;services;married;university.degree
619;admin.;married;university.degree
2376;technician;married;high.school
3185;management;single;university.degree
2187;blue-collar;married;basic.9y
3829;blue-collar;married;basic.4y
1063;services;married;high.school
1210;admin.;divorced;high.school
2039;technician;married;university.degree
154;unemployed;single;university.degree
814;admin.;married;university.degree
3993;admin.;single;university.degree
125;entrepreneur;married;basic.4y
2842;blue-collar;married;unknown
152;blue-collar;married;basic.4y
2220;services;married;high.school
251;admin.;divorced;university.degree
3061;admin.;divorced;university.degree
39;technician;single;unknown
2071;management;married;university.degree
3385;blue-collar;married;basic.4y
1461;admin.;single;high.school
3300;technician;single;high.school
3770;self-employed;single;university.degree
1134;management;married;basic.4y
2999;retired;married;basic.4y
2928;blue-collar;divorced;basic.9y
3597;admin.;single;university.degree
2317;retired;divorced;high.school
705;blue-collar;married;basic.6y
3666;admin.;married;university.degree
949;admin.;married;professional.course
2900;admin.;single;high.school
719;student;single;high.school
130;self-employed;divorced;unknown
1113;admin.;single;high.school
798;admin.;single;university.degree
2768;retired;divorced;high.school
2281;blue-collar;divorced;basic.4y
3102;self-employed;married;university.degree
1341;admin.;married;university.degree
432;blue-collar;married;basic.4y
2411;self-employed;divorced;basic.9y
2344;services;married;university.degree
1282;blue-collar;married;basic.9y
2269;technician;divorced;professional.course
1205;blue-collar;married;professional.course
3389;housemaid;married;basic.4y
2003;admin.;married;high.school
2254;management;married;high.school
1517;admin.;single;professional.course
4028;admin.;married;university.degree
3665;admin.;single;high.school
284;self-employed;married;basic.9y
1326;self-employed;single;university.degree
271;admin.;single;university.degree
1387;admin.;single;university.degree
3658;technician;single;university.degree
1833;unemployed;married;basic.9y
387;services;married;high.school
3437;blue-collar;single;basic.9y
18;admin.;divorced;university.degree
1616;services;married;high.school
1636;technician;married;professional.course
3514;admin.;single;high.school
3773;technician;married;professional.course
2455;admin.;married;high.school
2690;admin.;married;professional.course
1778;technician;married;basic.6y
1445;housemaid;single;university.degree
3179;retired;unknown;basic.4y
1186;admin.;married;unknown
1058;self-employed;married;basic.9y
3115;entrepreneur;married;university.degree
253;technician;married;professional.course
2241;services;single;professional.course
2935;services;married;high.school
756;blue-collar;single;unknown
59;admin.;married;university.degree
392;technician;single;university.degree
4069;blue-collar;divorced;basic.9y
1354;admin.;single;university.degree
2886;retired;married;university.degree
449;housemaid;divorced;professional.course
3252;management;married;university.degree
3415;blue-collar;single;professional.course
2237;technician;divorced;professional.course
3284;technician;single;high.school
4079;blue-collar;married;basic.9y
2836;blue-collar;single;basic.4y
3708;retired;married;high.school
3322;blue-collar;divorced;basic.6y
52;blue-collar;married;basic.9y
2119;blue-collar;married;basic.4y
2725;technician;married;professional.course
1920;technician;married;professional.course
3858;services;married;high.school
280;entrepreneur;married;university.degree
2120;technician;single;professional.course
3612;admin.;married;university.degree
2524;technician;single;university.degree
2858;technician;single;university.degree
715;retired;single;basic.4y
424;student;single;high.school
3273;self-employed;married;university.degree
2541;admin.;single;university.degree
185;retired;married;high.school
728;unemployed;single;basic.4y
3798;technician;married;professional.course
723;admin.;married;university.degree
3170;self-employed;single;university.degree
415;blue-collar;married;basic.6y
3817;unemployed;single;university.degree
484;technician;single;university.degree
1372;technician;married;high.school
170;admin.;married;high.school
3641;blue-collar;single;basic.6y
934;services;divorced;high.school
643;housemaid;divorced;university.degree
646;retired;divorced;basic.6y
3451;entrepreneur;married;university.degree
1578;admin.;single;high.school
2946;admin.;married;university.degree
3896;technician;divorced;professional.course
1062;admin.;married;high.school
3918;services;married;high.school
1306;admin.;married;high.school
993;services;married;basic.9y
3196;blue-collar;married;basic.6y
82;admin.;divorced;high.school
1489;technician;divorced;professional.course
2172;admin.;married;high.school
121;self-employed;married;professional.course
2429;blue-collar;married;basic.4y
2707;management;divorced;basic.6y
1388;technician;married;professional.course
1355;blue-collar;married;basic.9y
3971;retired;married;basic.4y
755;blue-collar;married;professional.course
1729;admin.;single;basic.9y
727;admin.;married;high.school
378;blue-collar;married;basic.9y
4057;services;married;university.degree
1262;admin.;divorced;university.degree
905;technician;divorced;unknown
478;student;single;unknown
3774;blue-collar;married;basic.6y
966;technician;single;university.degree
1348;admin.;single;high.school
1830;entrepreneur;married;basic.9y
2965;admin.;single;professional.course
2284;technician;single;professional.course
2788;technician;single;professional.course
1560;admin.;married;university.degree
2001;admin.;married;professional.course
2162;technician;single;professional.course
131;management;married;university.degree
1245;blue-collar;single;basic.9y
2016;blue-collar;married;high.school
3329;admin.;married;high.school
1310;blue-collar;married;basic.4y
2323;services;married;basic.6y
980;blue-collar;married;basic.9y
3629;blue-collar;married;basic.9y
177;blue-collar;married;basic.9y
1073;admin.;single;high.school
4062;self-employed;married;basic.4y
998;blue-collar;married;basic.6y
208;management;married;university.degree
3175;management;married;university.degree
2834;management;single;university.degree
1863;admin.;single;university.degree
3240;unemployed;single;high.school
