id	age	default	housing	loan	contact	month	day_of_week	campaign	pdays	previous	poutcome	emp.var.rate	cons.price.idx	cons.conf.idx	euribor3m	nr.employed	y
1	30	no	yes	no	cellular	may	fri	2	999	0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
2	39	no	no	no	telephone	may	fri	4	999	0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
3	25	no	yes	no	telephone	jun	wed	1	999	0	nonexistent	1.4	94.465	-41.8	4.962	5228.1	no
4	38	no	unknown	unknown	telephone	jun	fri	3	999	0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
5	47	no	yes	no	cellular	nov	mon	1	999	0	nonexistent	-0.1	93.2	-42.0	4.191	5195.8	no
6	32	no	no	no	cellular	sep	thu	3	999	2	failure	-1.1	94.199	-37.5	0.884	4963.6	no
7	32	no	yes	no	cellular	sep	mon	4	999	0	nonexistent	-1.1	94.199	-37.5	0.879	4963.6	no
8	41	unknown	yes	no	cellular	nov	mon	2	999	0	nonexistent	-0.1	93.2	-42.0	4.191	5195.8	no
9	31	no	no	no	cellular	nov	tue	1	999	1	failure	-0.1	93.2	-42.0	4.153	5195.8	no
9	31	no	no	no	cellular	nov	tue	1	999	1	failure	-0.1	93.2	-42.0	4.153	5195.8	no
10	35	unknown	no	no	telephone	may	thu	1	999	0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
11	25	unknown	yes	no	cellular	jul	thu	1	999	0	nonexistent	1.4	93.918	-42.7	4.958	5228.1	no
12	36	no	no	no	cellular	jul	thu	1	999	0	nonexistent	1.4	93.918	-42.7	4.968	5228.1	no
13	36	no	no	no	telephone	may	wed	2	999	0	nonexistent	1.1	93.994	-36.4	4.859	5191.0	no
14	47	no	yes	no	telephone	jun	thu	2	999	0	nonexistent	1.4	94.465	-41.8	4.958	5228.1	no
15	29	no	no	no	cellular	may	fri	2	999	0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
15	29	no	no	no	cellular	may	fri	2	999	0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
16	27	no	no	no	cellular	jul	wed	2	999	0	nonexistent	1.4	93.918	-42.7	4.963	5228.1	no
17	44	no	no	no	cellular	jul	wed	6	999	0	nonexistent	1.4	93.918	-42.7	4.957	5228.1	no
18	46	no	yes	no	telephone	jul	mon	4	999	0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
18	46	no	yes	no	telephone	jul	mon	4	999	0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
19	45	unknown	yes	yes	cellular	aug	mon	2	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
20	50	no	no	yes	cellular	jul	tue	1	999	0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	yes
21	55	unknown	yes	no	cellular	jul	tue	6	999	0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
22	39	no	no	no	cellular	mar	mon	1	12	2	success	-1.8	93.369	-34.8	0.639	5008.7	yes
23	29	no	yes	yes	cellular	aug	wed	3	999	0	nonexistent	1.4	93.444	-36.1	4.967	5228.1	no
24	40	no	no	yes	cellular	aug	wed	1	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
24	40	no	no	yes	cellular	aug	wed	1	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
25	44	unknown	yes	no	telephone	may	fri	7	999	0	nonexistent	1.1	93.994	-36.4	4.864	5191.0	no
26	38	no	yes	no	cellular	aug	mon	1	999	0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	yes
27	36	no	no	no	telephone	may	wed	1	999	0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
27	36	no	no	no	telephone	may	wed	1	999	0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
28	28	unknown	no	no	cellular	may	mon	2	999	1	failure	-1.8	92.893	-46.2	1.299	5099.1	no
29	47	unknown	no	no	telephone	may	thu	1	999	0	nonexistent	1.1	93.994	-36.4	4.86	5191.0	no
30	34	no	no	no	cellular	aug	tue	1	999	0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
31	38	no	yes	yes	cellular	mar	tue	1	999	1	failure	-1.8	92.843	-50.0	1.687	5099.1	no
32	33	unknown	yes	no	telephone	jun	mon	3	999	0	nonexistent	1.4	94.465	-41.8	4.865	5228.1	no
33	51	no	no	no	cellular	jun	fri	2	999	0	nonexistent	-2.9	92.963	-40.8	1.268	5076.2	no
33	51	no	no	no	cellular	jun	fri	2	999	0	nonexistent	-2.9	92.963	-40.8	1.268	5076.2	no
34	30	unknown	yes	no	telephone	jun	tue	1	999	0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
34	30	unknown	yes	no	telephone	jun	tue	1	999	0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
35	48	no	no	no	cellular	aug	thu	7	999	0	nonexistent	1.4	93.444	-36.1	4.962	5228.1	no
36	28	no	yes	no	telephone	jun	wed	1	999	0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
37	36	no	yes	no	telephone	may	wed	1	999	0	nonexistent	1.1	93.994	-36.4	4.859	5191.0	no
38	46	no	no	no	cellular	nov	wed	1	999	0	nonexistent	-0.1	93.2	-42.0	4.12	5195.8	no
39	31	no	yes	no	cellular	may	wed	1	999	1	failure	-1.8	92.893	-46.2	1.334	5099.1	no
40	20	no	no	no	cellular	oct	mon	3	999	3	failure	-1.1	94.601	-49.5	0.977	4963.6	no
41	35	unknown	yes	no	cellular	may	tue	1	999	0	nonexistent	-1.8	92.893	-46.2	1.344	5099.1	no
42	38	unknown	unknown	unknown	telephone	jun	fri	1	999	0	nonexistent	1.4	94.465	-41.8	4.967	5228.1	no
43	76	no	no	no	cellular	aug	thu	1	999	1	failure	-1.7	94.027	-38.3	0.899	4991.6	no
