spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,1,0,0,AT,2024-09-25,93,True,190427,The Emptiness Machine,2024-09-05,0.466,0.872,7,-3.344,1,0.0336,0.0156,0.0,0.121,0.806,184.115,4
7bkUa9kDFGxgCC7d36dzFI,Rote Flaggen,Berq,2,1,0,AT,2024-09-25,76,True,224591,ROTE FLAGGEN,2023-05-25,0.359,0.336,1,-12.895,0,0.0422,0.773,0.0,0.184,0.109,109.94,3
64f3yNXsi2Vk76odcHCOnw,Bauch Beine Po,Shirin David,3,-1,0,AT,2024-09-25,80,True,133932,Bauch Beine Po,2024-07-25,0.954,0.746,4,-6.113,0,0.0995,0.0272,0.00227,0.0892,0.886,123.969,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",4,0,4,AT,2024-09-25,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,5,0,1,AT,2024-09-25,99,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
0io16MKpbeDIdYzmGpQaES,Embrace It,Ndotz,6,2,23,AT,2024-09-25,83,True,104418,Embrace It,2024-08-23,0.882,0.645,1,-7.233,1,0.0601,0.475,4.13e-05,0.057,0.788,114.933,4
3aJT51ya8amzpT3TKDVipL,FTW,LACAZETTE,7,0,3,AT,2024-09-25,72,True,156521,FTW,2024-09-13,0.725,0.711,8,-7.91,0,0.386,0.142,0.0,0.145,0.749,91.937,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,8,1,1,AT,2024-09-25,91,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
1CfXReZpkv5l10m1Zc1mGn,Meer,JEREMIAS,9,2,-4,AT,2024-09-25,73,False,226151,Meer,2024-09-06,0.325,0.599,9,-8.358,1,0.0512,0.247,9.65e-05,0.155,0.291,176.597,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,10,5,7,AT,2024-09-25,97,False,218423,"Good Luck, Babe!",2024-04-05,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4
5ubQrs2wWoSgRwEaPZd4eS,H&K,LACAZETTE,11,3,1,AT,2024-09-25,73,True,139428,H&K,2024-05-24,0.731,0.716,1,-9.122,0,0.315,0.0801,0.0,0.308,0.656,126.883,4
6BfKdypkSis6aTgNTHpMmz,Leave It - Solven Remix,"Sophie Shaw, Oscar Yuan, Solven",12,-6,-8,AT,2024-09-25,61,False,132000,Leave It - Solven Remix,2024-09-13,0.695,0.891,11,-5.885,0,0.0461,0.358,0.000131,0.115,0.21,99.996,4
