spotify_id,name,artists,album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",2024-08-16,0.521,0.592,-7.777,0.0304,0.308,0.0,0.122,0.535,157.969
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,2025-01-05,0.625,0.131,-27.405,0.0717,0.177,0.218,0.0807,0.032,136.02
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2024-12-06,0.777,0.783,-4.477,0.26,0.0283,0.0,0.355,0.939,149.027
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,2025-01-05,0.168,0.00332,-46.113,0.0615,0.192,0.79,0.112,0.219,119.387
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,2024-05-17,0.747,0.507,-10.171,0.0358,0.2,0.0608,0.117,0.438,104.978
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",2025-01-31,0.768,0.775,-5.06,0.0466,0.069,2.96e-06,0.138,0.6,119.999
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,Bad Bunny,2025-01-05,0.142,0.195,-20.024,0.139,0.265,0.995,0.204,0.12,137.922
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,2024-10-18,0.554,0.808,-4.169,0.0368,0.214,0.0,0.159,0.372,108.548
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,2025-01-31,0.647,0.645,-6.425,0.0303,0.0871,0.0,0.671,0.422,120.098
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,2024-06-21,0.798,0.562,-5.913,0.0375,0.11,0.00606,0.122,0.647,110.991
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,2025-01-05,0.148,0.604,-35.032,0.0588,0.921,0.453,0.405,1e-05,106.295
7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),"The Weeknd, Anitta",2025-01-31,0.538,0.658,-7.273,0.076,0.0385,0.000146,0.573,0.553,127.322
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",2024-11-21,0.707,0.575,-7.546,0.125,0.251,0.0,0.248,0.576,138.008
63EQbNhgaih4yg5412usWG,Loco,Neton Vega,2024-12-20,0.849,0.708,-5.502,0.0686,0.0741,0.00768,0.139,0.632,91.981
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,2024-07-19,0.66,0.756,-3.743,0.032,0.00289,0.0,0.193,0.838,116.034
7d6yK8v8J484SWH5prIQiE,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",2025-01-05,0.613,0.981,-18.638,0.149,0.29,0.0023,0.437,0.0337,101.852
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,2024-07-26,0.494,0.413,-10.432,0.0254,0.682,6.72e-05,0.193,0.273,94.938
6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,2025-01-05,0.36,0.464,-29.598,0.0702,0.749,0.859,0.0825,0.184,63.662
5ehXToeJ8Tgc4wMhY42Oul,Wake Me Up (feat. Justice),"The Weeknd, Justice",2025-01-30,0.597,0.522,-8.918,0.034,0.00426,0.00102,0.492,0.153,110.976
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,2024-08-23,0.699,0.776,-5.282,0.0293,0.131,5.36e-06,0.205,0.708,103.963
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,2024-05-17,0.467,0.247,-12.002,0.0431,0.612,0.000271,0.17,0.126,148.101
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,2024-06-21,0.924,0.668,-6.795,0.0469,0.446,0.000594,0.0678,0.787,128.027
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,2024-04-05,0.7,0.582,-5.96,0.0356,0.0502,0.0,0.0881,0.785,116.712
5WEF0icHWmAZBBMglBd599,WELTiTA,"Bad Bunny, Chuwi",2025-01-05,0.458,0.297,-32.354,0.6,0.866,0.329,0.346,0.357,96.14
0stJVUUSrbEwyFHOp2dRu0,Open Hearts,The Weeknd,2025-01-30,0.658,0.753,-5.939,0.116,0.00301,0.000469,0.204,0.333,123.983
5Z75FvRFiultmPFWHx5jQ7,7 Dias,"Gabito Ballesteros, Tito Double P",2025-01-31,0.838,0.746,-3.749,0.0614,0.386,0.0,0.0839,0.577,111.913
0bxRSMz5WY1VuMmOhanE4b,Baptized In Fear,The Weeknd,2025-01-30,0.564,0.513,-7.596,0.0325,0.138,0.0,0.379,0.419,123.976
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",2024-11-15,0.833,0.563,-5.593,0.204,0.528,1.27e-05,0.139,0.343,105.008
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,2024-04-05,0.472,0.471,-5.692,0.0603,0.151,0.0,0.14,0.219,105.029
