id,age,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job,marital,education
1,30,no,yes,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,blue-collar,married,basic.9y
2,39,no,no,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,services,single,high.school
3,25,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,services,married,high.school
4,38,no,unknown,unknown,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,services,married,basic.9y
5,47,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,admin.,married,university.degree
6,32,no,no,no,cellular,sep,thu,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no,services,single,university.degree
7,32,no,yes,no,cellular,sep,mon,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no,admin.,single,university.degree
8,41,unknown,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,entrepreneur,married,university.degree
9,31,no,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no,services,divorced,professional.course
10,35,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,blue-collar,married,basic.9y
11,25,unknown,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,services,single,basic.6y
12,36,no,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,self-employed,single,basic.4y
13,36,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,admin.,married,high.school
14,47,no,yes,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,blue-collar,married,basic.4y
15,29,no,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,admin.,single,high.school
16,27,no,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,services,single,university.degree
17,44,no,no,no,cellular,jul,wed,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,admin.,divorced,university.degree
18,46,no,yes,no,telephone,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,admin.,divorced,university.degree
19,45,unknown,yes,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,entrepreneur,married,university.degree
20,50,no,no,yes,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes,blue-collar,married,basic.4y
21,55,unknown,yes,no,cellular,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,services,married,basic.6y
22,39,no,no,no,cellular,mar,mon,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes,technician,divorced,high.school
23,29,no,yes,yes,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,technician,single,university.degree
24,40,no,no,yes,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,management,married,high.school
25,44,unknown,yes,no,telephone,may,fri,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,technician,married,professional.course
26,38,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,technician,married,professional.course
27,36,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,technician,divorced,professional.course
28,28,unknown,no,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no,blue-collar,married,basic.6y
29,47,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,admin.,single,unknown
31,38,no,yes,yes,cellular,mar,tue,1,999,1,failure,-1.8,92.843,-50.0,1.687,5099.1,no,technician,married,university.degree
32,33,unknown,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,services,married,high.school
33,51,no,no,no,cellular,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no,technician,single,university.degree
34,30,unknown,yes,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,blue-collar,single,basic.4y
35,48,no,no,no,cellular,aug,thu,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,technician,married,university.degree
36,28,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,blue-collar,single,basic.9y
37,36,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,blue-collar,married,basic.6y
38,46,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,management,divorced,high.school
39,31,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no,technician,single,unknown
40,20,no,no,no,cellular,oct,mon,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no,student,single,unknown
41,35,unknown,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,services,married,high.school
42,38,unknown,unknown,unknown,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,blue-collar,married,basic.9y
43,76,no,no,no,cellular,aug,thu,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no,retired,married,university.degree
44,45,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,entrepreneur,divorced,professional.course
45,32,no,yes,yes,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,housemaid,married,basic.4y
46,39,unknown,no,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,management,single,university.degree
47,32,no,no,no,telephone,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,no,admin.,married,university.degree
48,29,no,no,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,admin.,single,basic.9y
49,44,no,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,services,married,professional.course
50,32,no,no,yes,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,services,married,high.school
51,56,no,yes,no,cellular,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no,retired,married,university.degree
52,33,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,blue-collar,married,basic.9y
53,39,no,no,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,management,married,high.school
54,24,no,yes,yes,cellular,sep,tue,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes,technician,married,university.degree
55,33,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,admin.,single,university.degree
56,58,no,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no,entrepreneur,divorced,university.degree
57,29,no,yes,no,telephone,jun,fri,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,admin.,single,university.degree
58,31,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,admin.,married,university.degree
59,27,no,no,no,telephone,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,admin.,married,university.degree
