id;job;marital;education
1;blue-collar;married;basic.9y
2;services;single;high.school
3;services;married;high.school
4;services;married;basic.9y
5;admin.;married;university.degree
6;services;single;university.degree
7;admin.;single;university.degree
8;entrepreneur;married;university.degree
9;services;divorced;professional.course
9;services;divorced;professional.course
10;blue-collar;married;basic.9y
11;services;single;basic.6y
12;self-employed;single;basic.4y
13;admin.;married;high.school
14;blue-collar;married;basic.4y
15;admin.;single;high.school
15;admin.;single;high.school
16;services;single;university.degree
17;admin.;divorced;university.degree
18;admin.;divorced;university.degree
18;admin.;divorced;university.degree
19;entrepreneur;married;university.degree
20;blue-collar;married;basic.4y
21;services;married;basic.6y
22;technician;divorced;high.school
23;technician;single;university.degree
24;management;married;high.school
24;management;married;high.school
25;technician;married;professional.course
26;technician;married;professional.course
27;technician;divorced;professional.course
27;technician;divorced;professional.course
28;blue-collar;married;basic.6y
29;admin.;single;unknown
30;admin.;married;university.degree
31;technician;married;university.degree
32;services;married;high.school
33;technician;single;university.degree
33;technician;single;university.degree
34;blue-collar;single;basic.4y
34;blue-collar;single;basic.4y
35;technician;married;university.degree
36;blue-collar;single;basic.9y
37;blue-collar;married;basic.6y
38;management;divorced;high.school
39;technician;single;unknown
40;student;single;unknown
41;services;married;high.school
42;blue-collar;married;basic.9y
43;retired;married;university.degree
44;entrepreneur;divorced;professional.course
44;entrepreneur;divorced;professional.course
45;housemaid;married;basic.4y
45;housemaid;married;basic.4y
46;management;single;university.degree
46;management;single;university.degree
47;admin.;married;university.degree
48;admin.;single;basic.9y
49;services;married;professional.course
50;services;married;high.school
51;retired;married;university.degree
52;blue-collar;married;basic.9y
52;blue-collar;married;basic.9y
53;management;married;high.school
53;management;married;high.school
54;technician;married;university.degree
55;admin.;single;university.degree
56;entrepreneur;divorced;university.degree
57;admin.;single;university.degree
58;admin.;married;university.degree
59;admin.;married;university.degree
60;admin.;divorced;professional.course
61;entrepreneur;married;professional.course
62;blue-collar;married;basic.9y
63;admin.;married;unknown
64;services;married;high.school
65;blue-collar;divorced;basic.6y
66;admin.;single;university.degree
67;technician;divorced;unknown
68;services;divorced;high.school
69;blue-collar;married;basic.9y
70;self-employed;married;university.degree
70;self-employed;married;university.degree
71;technician;single;professional.course
71;technician;single;professional.course
72;services;married;high.school
73;admin.;single;high.school
74;management;married;university.degree
74;management;married;university.degree
75;technician;single;high.school
76;admin.;married;university.degree
77;admin.;single;university.degree
78;self-employed;single;university.degree
79;unemployed;married;basic.9y
80;technician;single;university.degree
81;technician;married;professional.course
82;admin.;divorced;high.school
83;services;married;basic.4y
84;retired;married;university.degree
85;entrepreneur;divorced;university.degree
86;admin.;married;university.degree
87;unemployed;single;university.degree
88;services;single;basic.9y
89;admin.;single;university.degree
90;blue-collar;married;basic.6y
91;unemployed;single;high.school
92;blue-collar;married;basic.9y
93;blue-collar;married;high.school
94;self-employed;married;university.degree
94;self-employed;married;university.degree
95;blue-collar;single;basic.6y
96;management;married;professional.course
97;retired;married;basic.6y
97;retired;married;basic.6y
98;technician;married;professional.course
99;management;married;university.degree
100;admin.;married;unknown
100;admin.;married;unknown
101;management;married;university.degree
102;admin.;married;high.school
103;services;married;high.school
104;admin.;single;unknown
105;services;single;basic.9y
106;services;married;high.school
107;entrepreneur;married;professional.course
108;blue-collar;married;basic.6y
109;blue-collar;married;basic.9y
110;management;married;university.degree
110;management;married;university.degree
111;admin.;married;university.degree
112;blue-collar;married;basic.4y
113;blue-collar;married;basic.6y
114;management;married;university.degree
115;admin.;married;university.degree
116;entrepreneur;married;university.degree
117;management;divorced;basic.6y
118;services;married;high.school
119;blue-collar;married;high.school
120;retired;married;basic.9y
121;self-employed;married;professional.course
121;self-employed;married;professional.course
122;blue-collar;divorced;basic.9y
123;services;single;high.school
124;blue-collar;married;professional.course
125;entrepreneur;married;basic.4y
126;technician;divorced;basic.9y
127;blue-collar;married;basic.9y
128;admin.;married;basic.9y
129;retired;married;basic.4y
130;self-employed;divorced;unknown
131;management;married;university.degree
132;management;married;university.degree
133;admin.;divorced;university.degree
133;admin.;divorced;university.degree
134;services;single;professional.course
135;technician;married;professional.course
136;retired;divorced;high.school
137;admin.;married;university.degree
138;admin.;married;university.degree
139;technician;divorced;professional.course
140;blue-collar;divorced;basic.4y
141;technician;divorced;professional.course
142;technician;divorced;professional.course
143;admin.;married;high.school
144;technician;single;professional.course
145;services;single;high.school
145;services;single;high.school
146;blue-collar;married;basic.9y
147;services;married;high.school
148;technician;married;basic.9y
149;unknown;married;basic.9y
150;admin.;divorced;university.degree
150;admin.;divorced;university.degree
151;housemaid;married;basic.4y
151;housemaid;married;basic.4y
152;blue-collar;married;basic.4y
153;admin.;married;high.school
154;unemployed;single;university.degree
155;technician;single;university.degree
156;blue-collar;married;basic.4y
157;blue-collar;married;basic.9y
157;blue-collar;married;basic.9y
158;services;married;unknown
158;services;married;unknown
159;technician;single;unknown
160;admin.;single;high.school
161;unemployed;married;high.school
162;admin.;single;high.school
163;admin.;single;high.school
164;admin.;single;high.school
165;services;divorced;high.school
166;admin.;married;high.school
167;admin.;married;university.degree
167;admin.;married;university.degree
168;blue-collar;divorced;basic.4y
169;services;married;high.school
170;admin.;married;high.school
171;blue-collar;married;professional.course
172;admin.;married;university.degree
173;services;married;professional.course
174;services;single;high.school
175;technician;married;professional.course
176;technician;married;university.degree
177;blue-collar;married;basic.9y
